S/N,ProductName,Description,TextSpecifications,CleansedText
1,Hitchhiker Space Capsule Backpack,"Earthlings rejoice. Inspired by The Hitchhiker's Guide to the Galaxy, the Hitchhiker Space Capsule Backpack is the latest, 'Mostly Harmless' futuristic-looking bag made for intergalactic travel. Built to meet the exacting form and function standards of spacecraft technology, this bag organises your laptop, tablet, charger, mice, cables, water supply and most vitally, a fresh towel. For in possession of one, you shall be recognised as experienced, capable, and worthy of respect all over the galaxy.

Weighing in at a gravity-defying 1kg, take it on scenic hikes across Earth's lush rainforests or mundane commutes to your area command centre. If it's good enough for Earth travel, it ought to be good enough for the Moon, Mars or other unknown stars you've set your eyes on.

If you're still lost in translation, ""Don't Panic"".

In simple earth terms, this is the ultra-lightweight, water-resistant, TSA checkpoint friendly 15""/16"" laptop travel backpack with a luggage slot and anti-theft secured pockets you've been looking for.

Limited to 42 pieces galaxy-wide (The answer to life, the universe and everything)","Materials
- Water-resistant 500D Cordura nylon
- International orange ripstop nylon lining (For ease of search and rescue)
- Herringbone nylon padded strap webbing
- Self-concealing SBS zippers

Features
- Main compartment has 1 interior pocket and 1 zippered slot
- 2 (discreet) side fold slots for your water bottle or umbrella
- Front exterior zippered compartment holding 3 interior pockets and 2 pen slots
- Transportation Security Administration (TSA) checkpoint-friendly: Back compartment opens flat for easy airport security clearance
- Padded slot for 15""/16"" laptop and tablet
- 2 slot pockets for cables, chargers and mouse
- 2 anti-theft zippered compartments on the back panel for quick access
- Luggage slot",waterresistant cordura nylon orange nylon lining herringbone nylon strap selfconceale pocket discreet bottle pocket pen security administration tsa checkpointfriendly flat airport security clearance laptop tablet pocket cable charger mouse antitheft quick
2,Cypress Laptop Backpack,"While the Cypress assumes a minimalist stance in appearance, a generous supply of internal slots effortlessly organises your music, travel and technological pursuits.","Materials
- Full grain U.S. Cow Leather Accents
- 16oz Waxed Cotton Canvas
- YKK Japan Excella Matt Silver Zippers
- Houndstooth Cotton Lining / Nylon Webbing
Features
- 1 exterior pocket with tech-friendly slots, 1 interior pocket
- Neoprene-padded laptop compartment (Fits 13""/15"" Macbook)
- Signature Hare & Flying Tortoise detailing",cow accent wax cotton canvas ykk japan excella matt silver houndstooth cotton lining   nylon pocket techfriendly pocket neoprenepadde laptop macbook   tortoise
3,Castor 3-way Laptop Tote Backpack (Canvas Leather),"Crafted to be the jackknife of bags, the Castor 3-Way Laptop Tote Backpack boasts multiple carry options to match every style and occasion. Tote it by the lush leather handles or backpack it when on the move. Stowaway the shoulder strap neatly when not in use. A dedicated shock-absorbent 14"" laptop compartment and luggage slot make airport security clearance a breeze. Take it anywhere.

Watch the race unfold before you as the Hare & Tortoise zip across the bag from the ""Start"" to the ""Finish"". Who will win the race?","Materials
- Full grain U.S. Cow Leather
- 16oz Waxed Cotton Canvas
- YKK Japan Excella Silver Zippers
- Houndstooth Cotton Lining
- Nylon Strap Webbing
Features
- 1 exterior pocket with tech-friendly slots,
- 3 interior pockets
- Neoprene-padded laptop compartments (Fits 13""/14"" Laptop)
- Signature Hare & Flying Tortoise detailing",cow wax cotton canvas ykk japan excella silver houndstooth cotton lining nylon strap pocket techfriendly pocket neoprenepadde laptop laptop   tortoise
4,D'ryna Backpack (Nylon Leather),"The D'ryna Backpack commands a presence with her unique asymmetric trapezium structure. A generous opening leads to a capacious interior that holds all your daily essentials. A female remingination of the male protagonist D'Artagnan in The Three Musketeers by Alexandra Dumas, D'ryna exudes the French je ne sais quoi – an euphemism to describe an effortless charm. A hidden detachable zip pouch is engraved with famous quote ""One for all"", while ""All for one"" is engraved on the back of the bag, suggesting strength in unity.

A 14"" laptop compartment and luggage slot make this a stylish work and travel backpack..","Materials
- U.S full-grain Nappa cow leather
- Water-resistant nylon
- Cotton blend herringbone lining
- YKK Japan Excella gold zippers
Features
- Main compartment has 2 interior pockets
- 13""/14"" laptop compartment
- 1 exterior zippered compartment
- Detachable wristlet bearing the quote ""Tour por un, Un por tour"" with 2 internal card slots
- Luggage slot",cow waterresistant nylon cotton blend herringbone lining ykk japan excella gold pocket laptop detachable wristlet
5,D'ryna Backpack (Leather),"The D'ryna Backpack commands a presence with an unique asymmetric trapezium structure. A generous opening leads to a capacious interior that holds all your daily essentials. A female reimagination of the male protagonist D'Artagnan in The Three Musketeers by Alexandra Dumas, D'ryna exudes the French je ne sais quoi – a euphemism to describe an effortless charm. A hidden detachable zip pouch is engraved with the famous quote ""One for all"", while ""All for one"" is engraved on the back of the bag, suggesting strength in unity.

A 14"" laptop compartment and luggage slot make this a stylish work and travel backpack.","Materials
- U.S full-grain Nappa cow leather
- Water-resistant nylon
- Cotton blend herringbone lining
- YKK Japan Excella gold zippers
Features
- Main compartment has 2 interior pockets
- 13""/14"" laptop compartment
- 1 exterior zippered compartment
- Detachable wristlet bearing the quote ""Tour por un, Un por tour"" with 2 internal card slots
- Luggage slot",cow waterresistant nylon cotton blend herringbone lining ykk japan excella gold pocket laptop detachable wristlet
6,Athos Laptop Backpack (Nylon Leather),"Truly the quintessence of style meets function, the Athos Laptop Backpack discreetly combines sleek contours with a bounty of thoughtful compartments for your daily swashbuckling adventures. Named after the leader of The Three Musketeers by Alexandra Dumas, Athos is well-known for his intellect, courage and precise swordsmanship. A hidden detachable zip pouch is engraved with famous quote ""One for all"", while ""All for one"" is engraved on the back of the bag, suggesting strength in unity.

A 13"" laptop compartment and luggage slot make this a stylish work and travel backpack.","Materials
- U.S full-grain Nappa cow leather
- Water-resistant nylon
- Cotton blend herringbone lining
- YKK Japan Excella gold zippers
Features
- Main compartment has 2 interior pockets
- 1 exterior zippered compartment holding 3 interior pockets and 2 pen slots
- Detachable wristlet bearing the quote ""Tour por un, Un por tour"" with 2 internal card slots
- Exterior 13""/14"" Laptop slot
- Luggage slot",cow waterresistant nylon cotton blend herringbone lining ykk japan excella gold pocket pocket pen detachable wristlet laptop
7,Athos Laptop Backpack (Leather),"Truly the quintessence of style meets function, the Athos Laptop Backpack discreetly combines sleek contours with a bounty of thoughtful compartments for your daily swashbuckling adventures. Named after the leader of The Three Musketeers by Alexandra Dumas, Athos is well-known for his intellect, courage and precise swordsmanship. A hidden detachable zip pouch is engraved with famous quote ""One for all"", while ""All for one"" is engraved on the back of the bag, suggesting strength in unity.

A 13"" laptop compartment and luggage slot make this a stylish work and travel backpack.","Materials
- U.S full-grain Nappa cow leather
- Water-resistant nylon
- Cotton blend herringbone lining
- YKK Japan Excella gold zippers
Features
- Main compartment has 2 interior pockets
- 1 exterior zippered compartment holding 3 interior pockets and 2 pen slots
- Detachable wristlet bearing the quote ""Tour por un, Un por tour"" with 2 internal card slots
- Exterior 13""/14"" Laptop slot
- Luggage slot",cow waterresistant nylon cotton blend herringbone lining ykk japan excella gold pocket pocket pen detachable wristlet laptop
8,Athos Small Crossbody Backpack (Nylon Leather),"Truly the quintessence of style meets function, the Athos Small Crossbody Backpack discreetly combines sleek contours with a bounty of thoughtful compartments for your daily swashbuckling adventures. Named after the leader of The Three Musketeers by Alexandra Dumas, Athos is well-known for his intellect, courage and precise swordsmanship. A hidden detachable zip pouch is engraved with famous quote ""One for all"", while ""All for one"" is engraved on the back of the bag, suggesting strength in unity.

Backpack or crossbody it, this bag is a master of versatility to match your outfits.","Materials
- U.S full-grain Nappa cow leather
- Water-resistant nylon
- Cotton blend herringbone lining
- YKK Japan Excella gold zippers
Features
- Main compartment has 2 interior pockets
- 1 exterior zippered compartment holding 2 interior pockets
- Detachable wristlet bearing the quote ""Tour por un, Un por tour"" with 2 internal card slots",cow waterresistant nylon cotton blend herringbone lining ykk japan excella gold pocket pocket detachable wristlet
9,Athos Small Crossbody Backpack (Leather),"Truly the quintessence of style meets function, the Athos Small Crossbody Backpack discreetly combines sleek contours with a bounty of thoughtful compartments for your daily swashbuckling adventures. Named after the leader of The Three Musketeers by Alexandra Dumas, Athos is well-known for his interlect, courage and precise swordmanship. A hidden detachable zip pouch is engraved with famous quote ""One for all"", while ""All for one"" is engraved on the back of the bag, suggesting strength in unity.

Backpack or crossbody it, this bag is a master of versatility to match your outfits.","Materials
- U.S full-grain Nappa cow leather
- Water-resistant nylon
- Cotton blend herringbone lining
- YKK Japan Excella gold zippers
Features
- Main compartment has 2 interior pockets
- 1 exterior zippered compartment holding 2 interior pockets
- Detachable wristlet bearing the quote ""Tour por un, Un por tour"" with 2 internal card slots",cow waterresistant nylon cotton blend herringbone lining ykk japan excella gold pocket pocket detachable wristlet
10,Athos Medium Backpack (Nylon Leather),"Truly the quintessence of style meets function, the Athos Medium Backpack discreetly combines sleek contours with a bounty of thoughtful compartments for your daily swashbuckling adventures. Named after the leader of The Three Musketeers by Alexandra Dumas, Athos is well-known for his intellect, courage and precise swordsmanship. A hidden detachable zip pouch is engraved with famous quote ""One for all"", while ""All for one"" is engraved on the back of the bag, suggesting strength in unity..","Materials
- U.S full-grain Nappa cow leather
- Water-resistant nylon
- Cotton blend herringbone lining
- YKK Japan Excella gold zippers
Features
- Main compartment has 2 interior pockets
- 1 exterior zippered compartment holding 3 interior pockets and 2 pen slots
- Detachable wristlet bearing the quote ""Tour por un, Un por tour"" with 2 internal card slots",cow waterresistant nylon cotton blend herringbone lining ykk japan excella gold pocket pocket pen detachable wristlet
